[2025-05-03 12:44:11][DB][user:CD8478559 - Claude-Douglas][::1] Suppression d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-03 14:14:41][DB][user:CD8478559 - Claude-Douglas][::1] Modification d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-03 14:15:58][DB][user:CD8478559 - Claude-Douglas][::1] Modification d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 12:21:26][DB][user:CD8478559 - Claude-Douglas][::1] Modification d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 12:22:01][DB][user:CD8478559 - Claude-Douglas][::1] Suppression d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 12:46:18][DB][user:CD8478559 - Claude-Douglas][::1] Ajout d'un Admin (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 12:50:36][DB][user:CD8478559 - Claude-Douglas][::1] Ajout d'un Admin (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 15:41:20][DB][user:CD8478559 - Claude-Douglas][::1] Mofication d'une filiere (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-04 15:41:33][DB][user:O00790859 - Haba-Eugene][::1] Mofication d'une filiere (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36)
[2025-05-04 15:47:05][DB][user:CD8478559 - Claude-Douglas][::1] Mofication d'une filiere (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0)
[2025-05-05 09:13:54][DB][user:O00790859 - Haba-Eugene][::1] Suppression d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36)
[2025-05-05 09:13:58][DB][user:O00790859 - Haba-Eugene][::1] Suppression d'un Etudiant (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36)
